"dian_yuan_shu","vip_shu","zong_jian_shu","ling_shou_jia_zong_e","zhe_kou_zong_e","vip_shi_ji_xiao_shou_e","ping_jun_wen_du","ke_liu_liang","shi_ji_xiao_shou_zong_e"
"7","9","18","15706.000","1432.000","8678.000","27","0","14274.000"
"8","9","32","24564.000","1614.000","11715.000","28","0","22950.000"
"7","10","27","22739.000","2202.000","12940.000","28","0","20537.000"
"9","6","30","20925.000","1276.000","6535.000","26","0","19649.000"
"9","10","56","40850.000","3094.000","14900.000","25","0","37756.000"
"10","20","70","53219.000","5074.000","23831.000","24","0","48145.000"
"8","15","28","18152.000","2166.000","9337.000","25","0","15986.000"
"9","7","83","61372.000","23440.000","9752.000","22","0","37932.000"
"11","7","119","86234.000","38187.000","5790.000","21","0","48047.000"
"9","11","91","69124.000","21187.000","16359.000","20","0","47937.000"
"8","8","109","80524.000","34245.000","10347.000","22","0","46279.000"
"10","11","152","107326.000","41716.000","12530.000","24","0","65610.000"
"11","7","129","95744.000","39761.000","6228.000","24","0","55983.000"
"8","10","30","34532.000","4703.000","23548.000","24","0","29829.000"
"8","11","34","26703.000","2236.000","18973.000","20","0","24467.000"
"10","10","33","38937.000","5573.000","14139.000","15","0","33364.000"
"8","12","42","31933.000","3496.000","17562.000","14","0","28437.000"
"8","13","46","39173.000","1506.000","16362.000","14","0","37667.000"
"9","11","39","45094.000","2358.000","19007.000","19","0","42736.000"
"10","13","48","35919.000","2404.000","19124.000","24","0","33515.000"
"7","15","42","42102.000","5633.000","26832.000","24","0","36469.000"
"6","9","21","21345.000","1629.000","11692.000","24","0","19716.000"
"8","13","43","29461.000","3762.000","16236.000","25","0","25699.000"
"8","12","28","22506.000","2453.000","16604.000","25","0","20053.000"
"9","8","34","24170.000","5077.000","5354.000","25","0","19093.000"
"10","14","48","38443.000","6432.000","18120.000","24","0","32011.000"
"8","9","27","29024.000","6212.000","6921.000","24","0","22812.000"
"9","10","28","22727.000","2832.000","14934.000","24","0","19895.000"
"8","7","23","24925.000","2704.000","10011.000","22","0","22221.000"
"9","9","38","37103.000","2537.000","13313.000","14","0","34566.000"
"9","12","43","48604.000","5178.000","18547.000","12","0","43426.000"
"10","9","39","43907.000","4872.000","17365.000","13","0","39035.000"
"9","7","41","38882.000","4539.000","7372.000","11","0","34343.000"
"10","17","52","47002.000","4898.000","21986.000","13","0","42104.000"
"8","20","44","42317.000","4384.000","29779.000","15","0","37933.000"
"8","13","39","30488.000","3022.000","15193.000","15","0","27466.000"
"8","9","27","28932.000","3953.000","10870.000","15","0","24979.000"
"10","17","47","45115.000","3389.000","18890.000","17","0","41726.000"
"9","17","49","53227.000","3244.000","26631.000","18","0","49983.000"
"10","10","52","49481.000","5649.000","22503.000","19","0","43832.000"
"10","12","44","37674.000","2648.000","21149.000","20","0","35026.000"
"9","11","36","28752.000","1263.000","14056.000","20","0","27489.000"
"6","5","24","16709.000","419.000","2398.000","15","0","16290.000"
"8","12","43","31261.000","1775.000","14987.000","17","0","29486.000"
"6","6","24","19042.000","1980.000","8295.000","17","0","17062.000"
"10","35","84","68002.000","26391.000","39341.000","18","0","41611.000"
"11","53","130","131912.000","50485.000","78127.000","18","0","81427.000"
"10","49","106","97002.000","41431.000","54802.000","20","0","55571.000"
"10","13","80","71332.000","34174.000","10564.000","21","0","37158.000"
"9","7","99","87785.000","37107.000","4359.000","20","0","50678.000"
"9","8","59","58561.000","26415.000","8802.000","16","0","32146.000"
"9","8","84","93470.000","41695.000","18513.000","14","0","51775.000"
"9","10","70","88811.000","37715.000","9278.000","13","0","51096.000"
"10","13","132","144334.000","61958.000","15318.000","14","0","82376.000"
"11","9","111","120717.000","53882.000","8189.000","18","0","66835.000"
"7","9","37","35596.000","14142.000","9505.000","20","0","21454.000"
"9","11","57","58373.000","18360.000","18320.000","22","0","40013.000"
"9","8","53","50981.000","14939.000","9668.000","21","0","36042.000"
"9","7","58","59591.000","21375.000","7829.000","17","0","38216.000"
"9","9","63","54615.000","19356.000","9251.000","18","0","35259.000"
"10","19","79","87895.000","26469.000","25219.000","18","0","61426.000"
"11","14","78","76483.000","21305.000","18926.000","19","0","55178.000"
